Atualizado em: 2025-04-21
"Aeroporto";"Categoria";"Normativo";"Data";"Tarifa";"Grupo";"Natureza";"Incidência da Tarifa";"Teto Tarifário";"Reajuste Aplicado";"Ipca";"Fator X";"Fator Q";"Fator Q-1";"Fator M";"Delta"
"ASGA";"0";"Anexo nº 4/2011";"2011";"Adicional do Tesouro";"I";"Internacional";"null";"$18,00 ";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem - Importação";"null";" ";"1º - Até 2 dias úteis";"0,50%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem - Importação";"null";" ";"2º - Até 5 dias úteis";"1,00%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem - Importação";"null";" ";"3º - De 6 a 10 dias úteis";"1,50%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem - Importação";"null";" ";"4º - De 11 a 20 dias úteis";"3,00%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem - Importação";"null";" ";"Cada 10 dias úteis adicionais";"1,50%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Alto valor";"null";" ";"acima de 80.000,00/kg";"0,10%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Alto valor";"null";" ";"de 20.000,00 a 79.999,99/kg";"0,20%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Alto valor";"null";" ";"de 5.000,00 a 19.999,99/kg";"0,40%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Exportação";"null";" ";"1º - Até 4 dias úteis";"R$ 0,0200";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Exportação";"null";" ";"Cada 2 dias úteis adicionais";"R$ 0,0200";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Exportação";"null";" ";"Cobrança Mínima - Origem";"R$ 2,00";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Exportação";"null";" ";"Cobrança Mínima - Trânsito";"R$ 1,00";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Importação";"null";" ";"1º - Até 4 dias úteis";"R$ 0,0400";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Importação";"null";" ";"Cada 2 dias úteis adicionais";"R$ 0,0400";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Importação";"null";" ";"Cobrança Mínima";"R$ 5,00";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Perdimento";"null";" ";"1º Até 45 dias";"1,00%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Perdimento";"null";" ";"2º De mais de 45 dias a 90 dias";"2,00%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Perdimento";"null";" ";"3º De mais de 90 dias a 120 dias";"3,00%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Armazenagem e Capatazia - Perdimento";"null";" ";"4º De mais de 120 dias";"5,00%";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Capatazia - Importação";"null";" ";"Cobrança Mínima";"R$ 5,00";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Capatazia - Importação";"null";" ";"Valor sobre o Peso Bruto";"R$ 0,0150";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Capatazia - Trânsito";"null";" ";"Cobrança Mínima";"R$ 25,00";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Capatazia - Trânsito";"null";" ";"Valor sobre o Peso Bruto";"R$ 0,2500";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"I";"Doméstico";"null";"R$ 80,2800";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"I";"Internacional";"null";"R$ 174,04";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 1 ATÉ 2";"R$ 20,84";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 100 ATÉ 200";"R$ 166,60";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 12 ATÉ 24";"R$ 83,32";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 2 ATÉ 4";"R$ 31,30";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 200 ATÉ 300";"R$ 211,24";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 24 ATÉ 48";"R$ 104,14";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 300";"R$ 313,64";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 4 ATÉ 6";"R$ 41,54";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 48 ATÉ 100";"R$ 124,96";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"+ DE 6 ATÉ 12";"R$ 62,42";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Doméstico";"ATÉ 1";"R$ 20,84";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 1 ATÉ 2";"R$ 41,77";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 100 ATÉ 200";"R$ 333,43";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 12 ATÉ 24";"R$ 166,71";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 2 ATÉ 4";"R$ 62,73";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 200 ATÉ 300";"R$ 440,19";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 24 ATÉ 48";"R$ 208,44";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 300";"R$ 581,08";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 4 ATÉ 6";"R$ 83,18";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 48 ATÉ 100";"R$ 250,13";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"+ DE 6 ATÉ 12";"R$ 125,03";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Comunicação e Auxílio Rádio e Visuais";"II";"Internacional";"ATÉ 1";"R$ 41,77";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Embarque";"I";"Doméstico";"null";"R$ 13,77";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Embarque";"I";"Internacional";"null";"R$ 24,38";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"I";"Doméstico";"null";"R$ 0,1808";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"I";"Internacional";"null";"R$ 0,4672";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 1 ATÉ 2";"R$ 0,77";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 100 ATÉ 200";"R$ 25,44";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 12 ATÉ 24";"R$ 3,38";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 2 ATÉ 4";"R$ 0,77";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 200 ATÉ 300";"R$ 44,42";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 24 ATÉ 48";"R$ 6,77";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 300";"R$ 64,56";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 4 ATÉ 6";"R$ 1,01";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 48 ATÉ 100";"R$ 11,23";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"+ DE 6 ATÉ 12";"R$ 1,73";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Doméstico";"ATÉ 1";"R$ 0,77";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 1 ATÉ 2";"R$ 0,71";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 100 ATÉ 200";"R$ 65,00";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 12 ATÉ 24";"R$ 8,63";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 2 ATÉ 4";"R$ 1,42";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 200 ATÉ 300";"R$ 113,35";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 24 ATÉ 48";"R$ 17,16";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 300";"R$ 165,15";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 4 ATÉ 6";"R$ 2,54";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 48 ATÉ 100";"R$ 28,64";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"+ DE 6 ATÉ 12";"R$ 4,37";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência AE";"II";"Internacional";"ATÉ 1";"R$ 0,71";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"I";"Doméstico";"null";"R$ 0,8521";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"I";"Internacional";"null";"R$ 2,2954";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 1 ATÉ 2";"R$ 11,67";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 100 ATÉ 200";"R$ 127,36";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 12 ATÉ 24";"R$ 16,94";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 2 ATÉ 4";"R$ 11,67";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 200 ATÉ 300";"R$ 222,05";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 24 ATÉ 48";"R$ 33,96";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 300";"R$ 322,89";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 4 ATÉ 6";"R$ 11,67";" ";" ";" ";" ";" ";" ";" "
"ASGA";"0";"Anexo nº 4/2011";"2011";"Permanência PM";"II";"Doméstico";"+ DE 48 ATÉ 100";"R$ 56,22";" ";" ";" ";" ";" ";" ";" "
